ItemID,Make,Model,Year,Type,Color,Condition,Price,IMG_URL
01,Toyota,Corolla,2012,Sedan,Red,Like-new,18000,http://www.dieselstation.com/wallpapers/albums/Toyota/Corolla-2012/Toyota-Corolla-2012-widescreen-29.jpg
02,Toyota,Camry,2006,Sedan,Grey,Used,15000,https://s-media-cache-ak0.pinimg.com/originals/30/a7/43/30a743fc5ed62067b9719d377b252b62.jpg
03,Dodge,Grand Caravan,2010,Minivan,Black,New,24000,https://i.ytimg.com/vi/4e-1ko0NMGU/maxresdefault.jpg
04,Ford,Mustang,2015,Sport,Grey,New,39000,http://st.motortrend.com/uploads/sites/10/2015/09/2015-Ford-Mustang-GT-front-three-quarters.jpg
05,Honda,Accord,2012,Sedan,Silver,New,23000,http://st.motortrend.com/uploads/sites/10/2015/09/2012-Honda-Accord-SE-Sedan-rear-three-quarters.jpg
06,Nissan,Altima,2013,Sedan,Red,Used,18000,https://media.ed.edmunds-media.com/nissan/altima/2013/oem/2013_nissan_altima_sedan_35-sl_fq_oem_9_1280.jpg
07,Honda,Odyssey,2016,Minivan,Silver,New,33000,https://media.ed.edmunds-media.com/honda/odyssey/2016/ot/2016_honda_odyssey_LIFE1_ot_902163_1280.jpg
08,Toyota,Sienna,2010,Minivan,White,Used,20000,https://i.ytimg.com/vi/J-SCkLehmiA/maxresdefault.jpg
09,Ford,Explorer,2016,SUV,Grey,New,430000,http://st.motortrend.com/uploads/sites/10/2015/09/2016-Ford-Explorer-Sport-front-three-quarter1.jpg
10,Honda,CR-V,2011,SUV,Red,Used,31000,https://i.ytimg.com/vi/7kca3Dg_B9E/maxresdefault.jpg
11,Subaru,Forester,2013,SUV,Blue,New,28000,https://media.ed.edmunds-media.com/subaru/forester/2013/oem/2013_subaru_forester_4dr-suv_25x-limited-pzev_fq_oem_3_1280.jpg
12,Chevrolet,Corvette,2017,Sport,Red,New,57000,https://media.ed.edmunds-media.com/chevrolet/corvette/2017/ot/2017_chevrolet_corvette_LIFE1_ot_1127165_1280.jpg
13,Porsche,911,2014,Sport,Red,Used,65000,https://media.ed.edmunds-media.com/porsche/911/2014/oem/2014_porsche_911_coupe_carrera_fq_oem_1_1280.jpg
14,Audi,R8,2016,Sport,Blue,New,296000,http://www.autoguide.com/blog/wp-content/gallery/2016-audi-r8/2016-Audi-R8-V10-plus-01.jpg
