userID,orderID,itemID,Model,Price,Quantity
aegistov,345,01,Malibu,12000,1
aegistov,344,02,Charger,17000,2
aegistov,345,03,Spectra,13000,1
aegistov,345,01,Malibu,12000,1
aegistov,350,02,Charger,17000,2
aegistov,345,03,Spectra,13000,1
aegistov,345,01,Malibu,12000,1
aegistov,345,02,Charger,17000,2
aegistov,345,03,Spectra,13000,1
aegistov,351,01,Malibu,12000,1
aegistov,351,02,Charger,17000,2
aegistov,351,03,Spectra,13000,1
aegistov,352,01,Malibu,12000,1
aegistov,352,02,Charger,17000,2
aegistov,352,03,Spectra,13000,1
aegistov,353,01,Malibu,12000,1
aegistov,353,02,Charger,17000,2
aegistov,353,03,Spectra,13000,1
aegistov,354,01,Malibu,12000,1
aegistov,354,02,Charger,17000,2
aegistov,354,03,Spectra,13000,1
aegistov,355,01,Malibu,12000,1
aegistov,355,02,Charger,17000,2
aegistov,355,03,Spectra,13000,1
aegistov,356,01,Malibu,12000,1
aegistov,356,02,Charger,17000,2
aegistov,356,03,Spectra,13000,1
aegistov,357,01,Malibu,12000,1
aegistov,357,02,Charger,17000,2
aegistov,357,03,Spectra,13000,1
aegistov,358,01,Malibu,12000,1
aegistov,358,02,Charger,17000,2
aegistov,358,03,Spectra,13000,1
aegistov,359,01,Malibu,12000,1
aegistov,359,02,Charger,17000,2
aegistov,359,03,Spectra,13000,1
aegistov,360,01,Malibu,12000,1
aegistov,360,02,Charger,17000,2
aegistov,360,03,Spectra,13000,1
aegistov,361,01,Malibu,12000,1
aegistov,361,02,Charger,17000,2
aegistov,361,03,Spectra,13000,1
aegistov,362,01,Malibu,12000,1
aegistov,362,02,Charger,17000,2
aegistov,362,03,Spectra,13000,1
aegistov,363,01,Malibu,12000,1
aegistov,363,02,Charger,17000,2
aegistov,363,03,Spectra,13000,1
aegistov,364,01,Malibu,12000,1
aegistov,364,02,Charger,17000,2
aegistov,364,03,Spectra,13000,1
aegistov,365,01,Malibu,12000,1
aegistov,365,02,Charger,17000,2
aegistov,365,03,Spectra,13000,1
aegistov,366,01,Malibu,12000,1
aegistov,366,02,Charger,17000,2
aegistov,366,03,Spectra,13000,1
aegistov,367,01,Malibu,12000,1
aegistov,367,02,Charger,17000,2
aegistov,367,03,Spectra,13000,1
aegistov,368,01,Malibu,12000,1
aegistov,368,02,Charger,17000,2
aegistov,368,03,Spectra,13000,1
aegistov,369,01,Malibu,12000,1
aegistov,369,02,Charger,17000,2
aegistov,369,03,Spectra,13000,1
aegistov,370,01,Malibu,12000,1
aegistov,370,02,Charger,17000,2
aegistov,370,03,Spectra,13000,1
aegistov,371,01,Malibu,12000,1
aegistov,371,02,Charger,17000,2
aegistov,371,03,Spectra,13000,1
aegistov,372,01,Corolla,18000,1
aegistov,372,02,Charger,17000,2
aegistov,372,03,Spectra,13000,1
